recordIndex,key,instantiation-moment,heading,text,critical,info,critical-form
1,bulletin-01,2022/08/29 11:04,David Muñoz abre un nuevo restaurante de lujo en Madrid,Restaurante de lujo abierto por el famoso chef David Muñoz con comida típica española.,NOT CRITICAL,https://duckduckgo.com/?t=ffab&q=batimovil&atb=v312-1&iax=images&ia=images&iai=https%3A%2F%2Ffotos.perfil.com%2F2019%2F06%2F27%2Fbatimovil-746991.jpg,false
0,bulletin-02,2022/08/29 12:17,Carlos Fernández anuncia la apertura de su próximo restaurante en Sevilla,Innovador restaurante que contará con los servicios del chef Carlos Fernández que cuenta con 2 estrellas Michelin.,NOT CRITICAL,https://duckduckgo.com/?q=robot+de+familia&t=ffab&atb=v312-1&iar=images&iax=images&ia=images&iai=https%3A%2F%2Fwww.elplural.com%2Fuploads%2Fs1%2F17%2F97%2F3%2Fasus-zembo-youtube-0.png,false
2,bulletin-03,2022/08/29 19:06,El chef Fernando Sánchez ha abierto un nuevo restaurante en Barcelona,Precioso restaurante abierto en las Ramblas de Barcelona.,CRITICAL,https://duckduckgo.com/?q=pepe+phone&t=ffab&atb=v312-1&iar=images&iax=images&ia=images&iai=https%3A%2F%2Fpreview.redd.it%2F4d8edu7tsk651.jpg%3Fwidth%3D960%26crop%3Dsmart%26auto%3Dwebp%26s%3Dcdbdad1b0357d966dd62ae73413a1dbffed0fe40,true
4,bulletin-04,2022/08/29 20:01,Nuevo restaurante por Carlos Agudo abierto en Valencia,El chef Carlos Agudo abre un restaurante en su ciudad natal con auténticas recetas tradicionales de la Comunidad Valenciana.,CRITICAL,https://duckduckgo.com/?q=tirador+de+cerveza+infinito&t=ffab&atb=v312-1&iar=images&iax=images&ia=images&iai=https%3A%2F%2Fes.hkoenig.com%2Fimg%2F224%2F308532%2F11%2Fm2%2Fp%2Ftirador-de-cerveza.jpg,true
5,bulletin-05,2022/08/29 21:05,Sergio Álvarez ha hecho oficial que va a abrir un restaurante en Zaragoza,Maravilloso restaurante con precios muy asequibles.,CRITICAL,https://duckduckgo.com/?q=capa+de+invisibilidad&t=ffab&atb=v312-1&iar=images&iax=images&ia=images&iai=https%3A%2F%2Fsupercurioso.com%2Fwp-content%2Fuploads%2F2015%2F09%2Fcapa-invisibilidad.jpg,true
3,bulletin-06,2022/08/29 22:01,Nuevo restaurante abierto por Ángel Martínez en Córdoba,Restaurante que todos los cordobeses recomiendan.,NOT CRITICAL,https://duckduckgo.com/?q=copa+de+invisibilidad&t=ffab&atb=v312-1&iar=images&iax=images&ia=images&iai=https%3A%2F%2Felcallejondelregalo.com%2F4610-large_default%2F2-Copas-de-champagne-plateadas.jpg,false
7,bulletin-07,2022/08/29 06:10,¡El chef David Muñoz comparte sus recetas con nosotros!,Este famoso chef ha decidido compartir algunas de sus mejores recetas con nuestros usuarios.,CRITICAL,https://duckduckgo.com/?q=mina+de+proximidad&t=ffab&atb=v312-1&iar=images&iax=images&ia=images&iai=http%3A%2F%2F1.bp.blogspot.com%2F_4VQI-4sdI8c%2FS7IyYgAmBrI%2FAAAAAAAAA0Y%2FTyhHR5RX0wg%2Fs1600%2Fmina-claymore-04.jpg,true
6,bulletin-08,2022/08/29 07:11,¡El chef Carlos Fernández comparte sus recetas con nosotros!,Este famoso chef ha decidido compartir algunas de sus mejores recetas con nuestros usuarios.,CRITICAL,https://i.etsystatic.com/10713985/r/il/3cf2fd/849461798/il_794xN.849461798_dvwe.jpg,true
8,bulletin-09,2022/08/29 09:16,¡El chef Fernando Sánchez comparte sus recetas con nosotros!,Este famoso chef ha decidido compartir algunas de sus mejores recetas con nuestros usuarios.,CRITICAL,https://www.sobreruedas.news/wp-content/uploads/2020/11/2020110419345918678.jpg,true
9,bulletin-10,2022/08/29 08:30,¡El chef Sergio Álvarez comparte sus recetas con nosotros!,Este famoso chef ha decidido compartir algunas de sus mejores recetas con nuestros usuarios.,CRITICAL,https://plustatic.com/3082/conversions/tipos-aceleradores-particulas-social.jpg,true
